player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Emma Stina Blackstenius,10229,3.6763700523814062,1.3636363636363635,8.333333333333334,2.8593989296299824,11,3,2,0.28503055555555556,6.315670810775938,2.59,1.15,6.65,2.52,0.9743670787615221,0.2664950889933876,7.391711836747726
Ingrid Filippa Angeldal,62666,3.057319383861942,1.6440677966101696,7.555555555555555,2.3794459344652488,59,9,2,0.29417314814814816,2.930466383609671,3.3,0.44,7.8,3.39,0.9843456333932842,0.2149790364222851,7.43070940999019
Magdalena Lilly Eriksson,4633,2.6007060674631184,1.59375,2.0,2.022771385804648,32,1,0,0.205025,0,1.58,0.69,8.06,0,0.9138333981502464,0.19043057419963272,0
Lucia Di Guglielmo,46224,1.7060751551989792,1.3571428571428572,4.333333333333333,1.3269473429325394,42,3,1,0.6906930555555556,2.7094797769517585,2.77,0.36,8.87,8.15,0.9614253408989745,0.23445983842372986,4.802147492132419
Sofia Cantore,45638,2.705687191115129,2.6153846153846154,7.0,2.1044233708673223,26,2,4,0.20997916666666666,5.102119985954696,0.0,0.0,9.37,4.27,0.7175994646278843,0.14498197463687057,7.343505222271352
Barbara Bonansea,10211,2.559480957089798,2.7333333333333334,7.75,1.9907074110698428,15,4,0,0.1318604166666667,0,2.41,0.89,8.34,0,0.9605151532552886,0.1695406211288858,0
Zecira Musovic,62713,7.5345765834980165,0.5714285714285714,0,6.004481918323935,21,0,0,0,0,0.0,2.59,0,0,0.9102260158069561,0.5981830081457187,0
Elena Linari,10208,2.8403589448841595,0.38095238095238093,6.2,2.209168068243235,42,5,0,0.13271500000000003,0,1.81,0.98,7.88,0,0.9307488581531416,0.18672220467458178,0
Arianna Caruso,32162,3.722500510689905,2.161290322580645,8.5,3.061944841647704,31,4,2,0.15869687500000002,3.109602629982782,3.3,0.96,6.98,3.97,0.9877436516014249,0.2282538867334002,7.41184303540391
Gun Nathalie Björn,26093,3.0215468815045963,1.0,10.0,2.350092018948019,93,1,2,0.32736666666666664,3.6583167768581797,3.2,3.2,0.0,7.88,0.9821177529234684,0.671328910415766,7.380692603425716
Cecilia Salvai,10370,3.261826529192637,1.0875,8.333333333333334,2.5369761893720506,80,6,0,0.12076805555555557,0,1.71,1.71,9.16,0,0.9347248725878573,0.14094370442919746,0
Francesca Durante,32152,5.582012974661567,0.5227272727272727,0,4.341565646958997,44,0,0,0,0,0.82,0.99,0,0,0.9231892034412832,0.5981830081457187,0
