player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Kasper Dolberg,6302,9.296231970324866,0.36363636363636365,10.0,3.5547836438983986,11,1,2,0.19074166666666667,4.63295148649528,7.01,2.7,8.31,10.0,0.9998707094600502,0.17881592003217395,9.717564530335023
Christian Dannemann Eriksen,3043,9.220513103143196,1.5375,0.0,2.6461572377183544,80,1,1,0.1999375,7.597828312370891,10.0,5.66,10.0,1.66,0.9999917701430697,0.12521779260651456,9.832183541873189
Andreas Skov Olsen,17042,9.257335396505788,1.4285714285714286,10.0,3.088024758069453,28,1,0,0.025199999999999997,0,3.34,2.7,8.43,0,0.9956172374661428,0.15254775952681354,0
Rasmus Nissen Kristensen,16190,9.195427361109322,0.5,7.833333333333333,2.3451283333118615,58,6,0,0.3451326388888889,0,0.0,1.02,0.0,0,0.8887125539332925,0.6751052137604174,0
Joakim Mæhle,16554,9.184679830983093,1.0769230769230769,3.5,2.2161579717971005,52,6,1,0.4525979166666667,3.657390600360626,4.56,0.02,6.15,4.97,0.9983900858126563,0.3265512721616223,9.948794680342
Pierre-Emile Højbjerg,3570,9.237907354204383,0.8513513513513513,7.5,2.85488825045259,74,2,1,0.052479166666666646,6.765560326733548,1.7,2.56,7.55,3.21,0.9780733700417803,0.18765504985284653,9.865848098845177
Aïssa Bilal Laïdouni,44955,9.174248382557046,0.6,8.6,2.0909805906845342,45,5,1,0.11494,2.6044548066276114,1.61,0.77,7.46,3.92,0.9727595576104174,0.2006631247917856,4.778108425764657
Aymen Dahmen,105943,9.524133107680486,0.21052631578947367,0,6.289597292165812,38,0,0,0,0,0.19,0.19,0,0,0.9474959795275522,0.5981830081457187,0
Anis Ben Slimane,35592,9.18864683192145,3.3333333333333335,5.0,2.263761983057386,24,2,0,0.8041687499999999,0,0.0,0.0,6.99,0,0.8995114401242517,0.35501267926507296,0
Andreas Christensen,3959,9.13948557457665,0.6219512195121951,4.5,1.6738268949197956,82,2,1,0.4068104166666667,4.801505667587208,0.0,1.19,8.81,4.86,0.8779337284626613,0.1911778703398347,9.932688028458966
Dylan Daniel Mahmoud Bronn,5655,9.330148549582706,1.0,5.25,3.9617825949924845,41,4,1,0.19186145833333337,4.175121221026993,2.92,2.92,7.78,2.88,0.9942301604920178,0.19957488372407295,9.797028279726245
Yassine Meriah,5651,9.293565893385638,0.18867924528301888,7.0,3.52279072062763,53,3,1,0.09126666666666666,4.366655701849302,0.0,0.0,9.19,4.26,0.9052408899104906,0.13662807099247887,9.806086363666138
Issam Jebali,16352,9.133972076067264,2.111111111111111,3.5714285714285716,1.607664912807179,18,7,3,0.3046666666666666,5.906236367872471,3.99,0.41,6.05,5.0,0.9970799500159087,0.30123873276953705,9.673666148178432
